time,container_mem_mib,container_limit_mib,cpu,heap_used_mib,heap_max_mib
2026-09-26T16:39:42,1257.5,1536.0,0.41%,318.0,512.0
2026-09-26T16:39:44,1257.5,1536.0,0.40%,318.0,512.0
2026-09-26T16:39:47,1257.5,1536.0,0.40%,318.0,512.0
2026-09-26T16:39:50,1257.5,1536.0,0.43%,318.0,512.0
2026-09-26T16:39:52,1257.5,1536.0,0.59%,318.0,512.0
2026-09-26T16:39:54,1257.5,1536.0,0.44%,318.0,512.0
2026-09-26T16:39:57,1257.5,1536.0,0.46%,318.0,512.0
2026-09-26T16:39:59,1257.5,1536.0,0.37%,318.0,512.0
2026-09-26T16:40:01,1257.5,1536.0,0.37%,318.0,512.0
2026-09-26T16:40:04,1257.5,1536.0,0.39%,318.0,512.0
2026-09-26T16:40:07,1257.5,1536.0,0.61%,318.0,512.0
2026-09-26T16:40:09,1257.5,1536.0,0.41%,318.0,512.0
2026-09-26T16:40:11,1257.5,1536.0,0.38%,318.0,512.0
2026-09-26T16:40:13,1257.5,1536.0,0.43%,318.0,512.0
2026-09-26T16:40:16,1257.5,1536.0,0.37%,318.0,512.0
2026-09-26T16:40:18,1257.5,1536.0,0.38%,322.0,512.0
2026-09-26T16:40:21,1257.5,1536.0,0.37%,322.0,512.0
2026-09-26T16:40:23,1257.5,1536.0,0.42%,322.0,512.0
2026-09-26T16:40:26,1257.5,1536.0,0.40%,322.0,512.0
2026-09-26T16:40:28,1257.5,1536.0,0.38%,322.0,512.0
2026-09-26T16:40:30,1257.5,1536.0,0.41%,322.0,512.0
2026-09-26T16:40:32,1257.5,1536.0,0.42%,322.0,512.0
2026-09-26T16:40:35,1257.5,1536.0,0.42%,322.0,512.0
2026-09-26T16:40:38,1257.5,1536.0,0.71%,322.0,512.0
2026-09-26T16:40:40,1257.5,1536.0,0.40%,322.0,512.0
2026-09-26T16:40:42,1257.5,1536.0,0.39%,322.0,512.0
2026-09-26T16:40:44,1257.5,1536.0,0.42%,322.0,512.0
2026-09-26T16:40:47,1257.5,1536.0,0.44%,322.0,512.0
2026-09-26T16:40:49,1257.5,1536.0,0.40%,322.0,512.0
2026-09-26T16:40:52,1257.5,1536.0,0.53%,322.0,512.0
2026-09-26T16:40:54,1257.5,1536.0,0.41%,322.0,512.0
2026-09-26T16:40:57,1257.5,1536.0,0.46%,322.0,512.0
2026-09-26T16:40:59,1257.5,1536.0,0.42%,326.0,512.0
2026-09-26T16:41:01,1257.5,1536.0,0.38%,326.0,512.0
2026-09-26T16:41:03,1257.5,1536.0,0.40%,326.0,512.0
2026-09-26T16:41:06,1257.5,1536.0,0.49%,326.0,512.0
2026-09-26T16:41:09,1257.5,1536.0,0.42%,326.0,512.0
2026-09-26T16:41:11,1257.5,1536.0,0.38%,326.0,512.0
2026-09-26T16:41:13,1257.5,1536.0,0.42%,326.0,512.0
2026-09-26T16:41:16,1257.5,1536.0,0.41%,326.0,512.0
2026-09-26T16:41:18,1257.5,1536.0,0.37%,326.0,512.0
2026-09-26T16:41:20,1257.5,1536.0,0.38%,326.0,512.0
2026-09-26T16:41:23,1257.5,1536.0,0.43%,326.0,512.0
2026-09-26T16:41:26,1257.5,1536.0,0.49%,326.0,512.0
2026-09-26T16:41:28,1257.5,1536.0,0.51%,326.0,512.0
2026-09-26T16:41:30,1257.5,1536.0,0.52%,326.0,512.0
2026-09-26T16:41:32,1257.5,1536.0,0.60%,326.0,512.0
2026-09-26T16:41:35,1257.5,1536.0,0.64%,326.0,512.0
2026-09-26T16:41:38,1257.5,1536.0,1.02%,330.0,512.0
2026-09-26T16:41:40,1257.5,1536.0,0.54%,330.0,512.0
2026-09-26T16:41:42,1257.5,1536.0,0.52%,330.0,512.0
2026-09-26T16:41:44,1257.5,1536.0,0.52%,330.0,512.0
2026-09-26T16:41:47,1257.5,1536.0,0.54%,330.0,512.0
2026-09-26T16:41:50,1257.5,1536.0,0.56%,330.0,512.0
2026-09-26T16:41:52,1257.5,1536.0,0.90%,330.0,512.0
2026-09-26T16:41:54,1257.5,1536.0,0.46%,330.0,512.0
2026-09-26T16:41:57,1257.5,1536.0,0.52%,330.0,512.0
2026-09-26T16:41:59,1257.5,1536.0,0.47%,330.0,512.0
2026-09-26T16:42:01,1257.5,1536.0,0.45%,330.0,512.0
2026-09-26T16:42:04,1257.5,1536.0,0.46%,330.0,512.0
2026-09-26T16:42:07,1257.5,1536.0,0.75%,330.0,512.0
2026-09-26T16:42:09,1272.8,1536.0,0.46%,330.0,512.0
2026-09-26T16:42:11,1271.8,1536.0,0.45%,330.0,512.0
2026-09-26T16:42:13,1271.8,1536.0,0.47%,334.0,512.0
2026-09-26T16:42:16,1271.8,1536.0,0.48%,334.0,512.0
2026-09-26T16:42:18,1271.8,1536.0,0.47%,334.0,512.0
2026-09-26T16:42:21,1271.8,1536.0,0.45%,334.0,512.0
2026-09-26T16:42:23,1271.8,1536.0,0.49%,334.0,512.0
2026-09-26T16:42:26,1271.8,1536.0,0.46%,334.0,512.0
2026-09-26T16:42:28,1271.8,1536.0,0.47%,334.0,512.0
2026-09-26T16:42:30,1272.8,1536.0,0.47%,334.0,512.0
2026-09-26T16:42:32,1272.8,1536.0,0.53%,334.0,512.0
2026-09-26T16:42:35,1272.8,1536.0,0.50%,334.0,512.0
2026-09-26T16:42:38,1272.8,1536.0,1.15%,334.0,512.0
2026-09-26T16:42:40,1272.8,1536.0,0.86%,334.0,512.0
2026-09-26T16:42:42,1272.8,1536.0,0.45%,334.0,512.0
2026-09-26T16:42:44,1272.8,1536.0,0.47%,334.0,512.0
2026-09-26T16:42:47,1272.8,1536.0,0.70%,334.0,512.0
2026-09-26T16:42:49,1272.8,1536.0,0.51%,334.0,512.0
2026-09-26T16:42:52,1272.8,1536.0,0.60%,338.0,512.0
2026-09-26T16:42:54,1272.8,1536.0,0.46%,338.0,512.0
2026-09-26T16:42:57,1272.8,1536.0,0.99%,338.0,512.0
2026-09-26T16:42:59,1273.9,1536.0,0.46%,338.0,512.0
2026-09-26T16:43:01,1273.9,1536.0,0.58%,338.0,512.0
2026-09-26T16:43:03,1273.9,1536.0,0.45%,338.0,512.0
2026-09-26T16:43:06,1273.9,1536.0,0.54%,338.0,512.0
2026-09-26T16:43:09,1272.8,1536.0,0.51%,338.0,512.0
2026-09-26T16:43:11,1272.8,1536.0,0.51%,338.0,512.0
2026-09-26T16:43:13,1272.8,1536.0,0.46%,338.0,512.0
2026-09-26T16:43:16,1272.8,1536.0,0.46%,338.0,512.0
2026-09-26T16:43:18,1272.8,1536.0,0.44%,338.0,512.0
2026-09-26T16:43:20,1272.8,1536.0,0.48%,338.0,512.0
2026-09-26T16:43:22,1272.8,1536.0,0.44%,338.0,512.0
2026-09-26T16:43:26,1272.8,1536.0,0.50%,338.0,512.0
2026-09-26T16:43:28,1272.8,1536.0,0.44%,338.0,512.0
2026-09-26T16:43:30,1272.8,1536.0,0.48%,342.0,512.0
2026-09-26T16:43:32,1272.8,1536.0,0.49%,342.0,512.0
2026-09-26T16:43:34,1272.8,1536.0,0.46%,342.0,512.0
2026-09-26T16:43:37,1272.8,1536.0,0.73%,342.0,512.0
2026-09-26T16:43:40,1272.8,1536.0,0.50%,342.0,512.0
2026-09-26T16:43:42,1272.8,1536.0,0.49%,342.0,512.0
2026-09-26T16:43:44,1272.8,1536.0,0.46%,342.0,512.0
2026-09-26T16:43:47,1272.8,1536.0,0.48%,342.0,512.0
2026-09-26T16:43:49,1272.8,1536.0,0.46%,342.0,512.0
2026-09-26T16:43:51,1272.8,1536.0,0.75%,342.0,512.0
2026-09-26T16:43:54,1272.8,1536.0,0.48%,342.0,512.0
2026-09-26T16:43:57,1272.8,1536.0,0.53%,342.0,512.0
2026-09-26T16:43:59,1272.8,1536.0,0.47%,342.0,512.0
2026-09-26T16:44:01,1272.8,1536.0,0.49%,342.0,512.0
